mmsi,max_jump_km
219031469,2.4
219031529,7.4
219031557,149.0
219031605,62.2
219031632,15.8
219031645,2.9
219031646,7.3
219031827,2.1
219031855,9.3
219031877,67.7
219031891,3.0
219032204,10.0
219032223,7.2
219032257,4.4
219032297,2.6
219032306,5.9
219032365,13.4
219032375,409.5
219032447,38.0
219032482,12.9
219032520,5.1
219032671,842.3
219032732,3.2
219032859,207.6
219032860,19.5
219032880,53.3
219032881,240.1
219032961,257.8
219033166,326.1
219033229,2.9
219033319,26.2
219033324,70.5
219033376,2.8
219033409,7.3
219033765,33.0
219033810,2.9
219034145,54.4
219034291,72.7
219034334,2.1
219034389,320.3
219034393,135.9
219034486,313.6
219034644,24.3
219034887,379.6
219034985,9.9
219035418,21.8
219035886,33.3
219061000,411.3
219070000,24.8
219105000,3.9
219136000,262.0
219159000,39.8
219170000,9.1
219200000,6.8
219203000,371.0
219207000,391.0
219209000,324.6
219222000,290.5
219250000,198.4
219256000,91.3
219262000,65.2
219298000,12.5
219309000,11.6
219340000,8.3
219370000,375.0
219384000,27.3
219385000,509.2
219417000,10.0
219421000,174.0
219423000,13.6
219435000,29.4
219437000,136.2
219448000,13.8
219543000,163.7
219554000,295.6
219558000,142.3
219560000,2.3
219578000,614.1
219581000,29.3
219592000,4.9
219609000,174.6
219620000,197.0
219699000,185.1
219705000,7.7
219775000,49.8
219787000,4.3
219794000,90.9
219814000,261.0
219825000,31.4
219829000,3.2
219904000,9.4
219927000,2.6
